case,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12,i13,i14,i15,i16,i17,i18,i19,i20,i21,i22,i23,i24,i25,i26,i27,i28,i29,i30,i31,i32,i33,i34,i35,i36,i37,i38,i39,i40,i41,i42,i43,i44,i45,i46,i47,i48,i49,i50,i51,i52,i53,i54,i55,i56,i57,i58,i59,i60,i61,i62,i63,i64,i65,i66,i67,i68,i69,i70,i71,i72,i73,i74,i75,i76,i77,i78,i79,i80,i81,i82,i83,i84,i85,i86,i87,i88,i89,i90,i91,i92,i93,i94,i95,i96,i97,i98,i99,i100,i101,i102,i103,i104,i105,i106,i107,i108,i109,i110,i111,i112,i113,i114,i115,i116,i117,i118,i119,i120
346,5,1,1,2,3,3,1,2,3,1,5,2,5,3,3,5,2,4,2,3,3,2,2,2,1,5,1,2,3,4,5,2,1,2,3,4,1,2,2,5,4,2,3,3,4,5,2,5,3,2,2,2,5,2,2,5,2,1,4,4,5,4,2,2,3,3,5,5,3,5,5,2,1,3,3,4,3,4,2,4,2,3,4,2,4,5,1,4,3,4,5,5,3,4,3,1,5,5,2,5,2,4,2,3,3,1,4,5,3,4,2,2,5,1,4,1,1,4,2,4
347,5,1,1,1,3,3,1,2,2,1,5,1,4,2,3,5,2,4,2,3,2,2,1,2,1,4,1,1,2,4,5,2,1,2,3,4,1,2,1,4,4,1,2,2,4,5,2,5,2,2,2,2,5,3,2,4,2,1,3,4,4,4,2,2,3,3,5,5,2,4,5,1,1,4,3,4,3,4,2,4,2,2,4,2,4,4,2,5,4,4,5,5,2,5,3,1,5,5,2,4,2,4,3,4,2,1,4,5,3,4,2,1,5,1,4,1,1,4,4,4
359,5,1,1,2,2,4,1,2,2,1,5,1,5,2,2,5,2,4,2,1,3,2,1,2,1,5,1,1,3,4,5,1,1,2,2,4,1,2,1,5,4,1,3,3,4,5,1,5,3,1,2,1,5,2,1,5,2,1,3,4,5,5,2,2,2,4,5,5,1,5,5,1,1,4,3,5,2,4,2,5,1,2,4,1,5,5,1,5,4,4,5,5,3,4,2,1,5,5,2,5,1,5,2,4,4,1,4,5,3,5,1,1,5,1,4,1,1,5,2,4
360,5,1,2,2,1,3,1,2,3,1,5,1,5,2,2,5,2,5,1,1,2,3,2,2,1,5,1,2,3,4,5,2,2,2,1,4,1,3,2,5,4,1,2,2,3,5,2,4,3,1,1,2,4,2,1,5,2,1,3,4,5,4,3,2,1,3,5,4,2,5,5,1,1,4,3,4,3,2,2,5,1,2,3,1,4,5,1,4,4,4,5,5,4,4,2,1,5,4,2,5,2,4,1,4,4,1,4,4,2,5,2,1,4,1,4,1,1,4,4,4
365,5,1,1,2,2,4,1,2,1,1,5,1,5,2,2,5,2,5,1,2,3,3,1,1,1,5,1,2,3,4,5,1,1,2,2,4,1,2,1,5,4,1,3,3,4,5,2,5,3,1,2,3,5,2,1,5,2,1,3,4,5,4,2,2,2,4,5,5,1,5,5,1,1,3,3,4,2,2,3,4,1,3,4,2,4,5,2,4,3,4,5,5,2,4,2,1,5,5,2,5,2,4,1,3,4,1,4,5,2,4,2,2,5,1,4,1,1,4,2,4
375,4,1,2,2,2,3,1,2,2,1,5,2,4,2,2,5,2,4,3,2,3,2,2,3,1,5,1,2,3,4,4,2,1,2,2,4,1,2,3,5,4,2,2,2,3,5,2,5,3,1,2,2,4,2,2,5,2,1,3,4,4,4,2,2,2,3,5,5,3,5,5,2,1,4,3,4,3,4,3,4,2,3,4,2,4,4,2,4,4,4,5,5,3,4,2,1,5,5,3,5,2,4,3,4,4,1,4,5,3,4,2,2,5,1,4,1,1,4,4,4
397,4,1,2,2,2,3,1,2,2,1,5,2,4,1,2,5,3,5,3,2,3,3,2,3,1,4,1,2,2,4,4,1,1,2,2,4,1,2,2,5,4,2,2,2,3,4,2,5,3,1,2,3,4,2,2,4,2,1,2,4,4,4,2,2,2,3,5,4,2,5,5,2,1,4,3,4,3,4,3,4,2,3,4,2,4,4,2,4,4,4,4,5,3,4,2,1,5,4,3,5,2,4,3,4,4,1,4,5,3,5,2,3,4,1,4,1,1,4,4,4
399,5,1,2,2,2,3,1,2,3,1,5,1,4,2,2,5,2,4,2,2,3,2,2,3,1,5,1,2,2,3,5,1,2,2,2,3,1,2,3,4,4,1,3,2,3,4,2,4,2,2,2,2,4,3,2,5,2,2,2,3,5,4,2,2,2,3,5,4,3,4,5,1,1,4,3,4,2,4,2,4,2,2,4,3,4,5,2,4,4,3,5,4,3,4,2,2,5,4,2,4,2,4,3,4,3,2,4,4,2,4,2,2,4,3,4,1,2,3,4,3
405,5,1,2,2,2,4,1,2,3,2,5,1,5,2,3,5,2,4,2,2,3,2,2,3,2,5,1,2,3,4,5,1,2,2,2,4,1,2,3,4,5,1,3,2,3,5,2,5,3,2,3,2,4,3,2,5,1,2,3,4,5,5,2,2,2,4,5,4,3,4,5,1,1,4,3,5,2,5,3,4,3,2,4,3,4,5,1,4,4,4,5,5,3,4,2,1,5,4,3,4,2,5,3,4,3,1,4,5,3,4,3,2,4,3,4,1,1,4,4,4
417,5,1,2,1,2,4,1,2,2,1,5,1,5,2,2,5,2,5,3,2,3,2,1,3,1,5,1,1,2,4,5,1,2,1,2,4,1,2,2,5,4,1,3,2,3,5,2,5,3,2,2,3,4,2,2,5,1,1,2,4,5,5,2,1,2,4,5,5,2,5,5,1,1,4,3,5,2,4,3,4,2,2,5,2,4,5,1,4,4,4,5,5,2,5,2,1,5,4,3,5,2,4,4,4,3,1,4,5,3,4,2,2,5,2,4,1,1,5,4,4
